from,to,rate
故宫,天坛公园,0.6233766233766234
故宫,后海,0.6265560165975104
故宫,颐和园,0.6916299559471366
故宫,鸟巢,0.6629213483146067
故宫,雍和宫,0.6637168141592921
天安门广场,故宫,0.6961538461538461
天安门广场,天坛公园,0.6450511945392492
天安门广场,颐和园,0.6836734693877551
天安门广场,鸟巢,0.6892655367231638
天安门广场,雍和宫,0.6513761467889908
天安门广场,慕田峪长城,0.6190476190476191
王府井,后海,0.62
王府井,鸟巢,0.6046511627906976
国际机场,天坛公园,0.6111111111111112
国际机场,王府井,0.65
国际机场,雍和宫,0.6153846153846154
慕田峪长城,颐和园,0.6363636363636364
慕田峪长城,鸟巢,0.7931034482758621
慕田峪长城,国际机场,0.6363636363636364